"From ""Handbook of Temperature Measurement Vol. 3: The Theory and Practice of Thermoelectric Thermometry"" Sep 1, 1998, pg. 31",
3.5272,-17.7365
6.6653,-17.9087
9.8149,-17.9095
12.9529,-18.0817
16.1024,-18.0825
19.2404,-18.2546
22.39,-18.2554
25.5394,-18.2563
28.6775,-18.4284
31.827,-18.4292
34.9766,-18.43
38.1262,-18.4309
41.2757,-18.4317
44.4253,-18.4325
47.5748,-18.4333
50.7244,-18.4341
53.8739,-18.4349
57.0235,-18.4357
60.173,-18.4365
63.3341,-18.266
66.4837,-18.2668
69.6332,-18.2676
72.7828,-18.2684
75.9439,-18.0979
79.0935,-18.0987
82.2546,-17.9281
85.4041,-17.9289
88.5537,-17.9297
91.7147,-17.7591
94.8643,-17.76
98.0255,-17.5895
101.175,-17.5903
104.3361,-17.4197
107.4971,-17.2492
110.6583,-17.0786
113.8195,-16.9081
116.9689,-16.9089
120.1186,-16.9097
123.2681,-16.9104
126.4292,-16.74
129.5788,-16.7408
132.7399,-16.5702
135.8895,-16.571
139.0506,-16.4005
142.2001,-16.4013
145.3497,-16.4021
148.5108,-16.2316
151.6604,-16.2324
154.8098,-16.2332
157.9595,-16.234
161.109,-16.2348
164.2586,-16.2356
167.4081,-16.2364
170.5577,-16.2372
173.7072,-16.238
176.8568,-16.2388
180.0063,-16.2397
183.1559,-16.2405
186.3054,-16.2413
189.455,-16.2421
192.6045,-16.2429
195.7541,-16.2437
198.9036,-16.2445
202.0416,-16.4167
205.1912,-16.4175
208.3407,-16.4183
211.4903,-16.4191
214.6282,-16.5913
217.7778,-16.592
220.9274,-16.5929
224.0769,-16.5937
227.2149,-16.7659
230.3645,-16.7667
233.514,-16.7675
236.6636,-16.7683
239.8014,-16.9405
242.951,-16.9413
246.1006,-16.9421
249.2386,-17.1142
252.3881,-17.1151
255.5377,-17.1159
258.6757,-17.288
261.8253,-17.2888
264.9748,-17.2897
268.1128,-17.4618
271.2624,-17.4626
274.4119,-17.4634
277.5499,-17.6356
280.6995,-17.6364
283.849,-17.6372
286.987,-17.8094
290.1365,-17.8102
293.2861,-17.811
296.4241,-17.9832
299.5735,-17.984
302.7231,-17.9848
305.8612,-18.157
309.0107,-18.1578
312.1487,-18.3299
315.2983,-18.3307
318.4478,-18.3315
321.5857,-18.5037
324.7354,-18.5045
327.8849,-18.5053
331.0345,-18.5061
334.184,-18.507
334.1724,-18.6783
337.3104,-18.8505
340.46,-18.8513
343.5979,-19.0234
346.7475,-19.0243
349.8971,-19.0251
353.0351,-19.1972
356.1846,-19.198
359.3342,-19.1988
362.4721,-19.371
365.6217,-19.3718
368.7597,-19.544
371.9092,-19.5448
375.0588,-19.5455
378.1968,-19.7178
381.3463,-19.7186
384.4843,-19.8907
387.6339,-19.8916
390.7833,-19.8923
393.9214,-20.0645
397.071,-20.0653
400.2089,-20.2375
403.3585,-20.2383
406.508,-20.2391
409.646,-20.4113
412.7955,-20.4121
415.9336,-20.5843
419.0831,-20.5851
422.2211,-20.7572
425.3707,-20.7581
428.5202,-20.7589
431.6582,-20.931
434.8077,-20.9318
437.9457,-21.104
441.0953,-21.1048
444.2448,-21.1056
447.3828,-21.2778
450.5324,-21.2786
453.6819,-21.2793
456.8199,-21.4516
459.9695,-21.4524
463.1075,-21.6245
466.257,-21.6254
469.4066,-21.6261
472.5445,-21.7983
475.6941,-21.7991
478.8321,-21.9713
481.9816,-21.9721
485.1312,-21.9729
488.2807,-21.9737
491.4303,-21.9745
494.5798,-21.9754
497.7178,-22.1475
500.8674,-22.1482
504.0054,-22.3205
507.1549,-22.3213
510.2929,-22.4935
513.4425,-22.4943
516.5804,-22.6663
519.7184,-22.8386
522.8679,-22.8394
526.006,-23.0116
529.1555,-23.0124
532.2934,-23.1846
535.4431,-23.1854
538.5926,-23.1862
541.7306,-23.3583
544.8801,-23.3591
548.0181,-23.5312
551.1677,-23.5321
551.1561,-23.7035
554.3057,-23.7043
557.4552,-23.705
560.6048,-23.7059
563.7543,-23.7067
566.8923,-23.8789
570.0419,-23.8797
573.1914,-23.8805
576.3294,-24.0527
579.479,-24.0535
582.6284,-24.0543
585.7665,-24.2265
588.916,-24.2273
592.0656,-24.2281
595.2036,-24.4002
598.3531,-24.401
601.5027,-24.4019
604.6407,-24.5739
607.7902,-24.5748
610.9398,-24.5756
614.0778,-24.7478
617.2273,-24.7486
620.3769,-24.7494
623.5149,-24.9216
626.6644,-24.9224
629.814,-24.9232
632.9635,-24.924
636.1015,-25.0962
639.251,-25.097
642.4006,-25.0977
645.5386,-25.27
648.6881,-25.2708
651.8377,-25.2716
654.9872,-25.2724
658.1252,-25.4445
661.2748,-25.4454
664.4243,-25.4462
667.5739,-25.447
670.7119,-25.6192
673.8614,-25.62
677.011,-25.6208
680.149,-25.7929
683.2985,-25.7936
686.4481,-25.7946
689.5976,-25.7953
692.7356,-25.9675
695.8852,-25.9683
699.0347,-25.9691
702.1843,-25.97
705.3338,-25.9708
708.4718,-26.1429
711.6213,-26.1437
714.7709,-26.1446
717.9089,-26.3167
721.0584,-26.3175
724.208,-26.3183
727.3575,-26.3191
730.4955,-26.4913
733.6451,-26.4921
736.7946,-26.4929
739.9442,-26.4937
743.0822,-26.6659
746.2317,-26.6667
749.3813,-26.6675
752.5308,-26.6683
755.6804,-26.6691
758.8184,-26.8413
761.9679,-26.842
