"From ""Handbook of Temperature Measurement Vol. 3: The Theory and Practice of Thermoelectric Thermometry"" Sep 1, 1998, pg. 31",
2.2809,22.1005
5.4323,22.0999
8.5838,22.0994
11.7353,22.0989
14.8801,22.2664
18.0317,22.2659
21.1832,22.2652
24.3347,22.2648
27.4795,22.4324
30.631,22.4318
33.7825,22.4313
36.9274,22.5988
40.0789,22.5983
43.2303,22.5977
46.3818,22.5972
49.5267,22.7648
52.6782,22.7643
55.8296,22.7637
58.9811,22.7631
62.126,22.9306
65.2775,22.9302
68.429,22.9297
71.5805,22.9291
74.7254,23.0967
77.8769,23.0962
81.0283,23.0956
84.1798,23.0951
87.3313,23.0946
90.4762,23.2621
93.6277,23.2616
96.7792,23.261
99.9306,23.2605
103.0821,23.26
106.2336,23.2595
109.3785,23.427
112.53,23.4264
115.6815,23.4259
118.833,23.4254
121.9844,23.4249
125.1359,23.4243
128.2873,23.4238
131.4389,23.4233
134.5838,23.5908
137.7353,23.5903
140.8868,23.5897
144.0382,23.5892
147.1897,23.5887
150.3412,23.5882
153.4927,23.5876
156.6442,23.5871
159.7957,23.5866
162.9472,23.5861
166.0987,23.5855
169.2501,23.585
172.4016,23.5845
175.5531,23.5838
178.7046,23.5834
181.8561,23.5829
185.0076,23.5824
188.1591,23.5817
191.3106,23.5813
194.4621,23.5808
197.6135,23.5802
200.765,23.5796
203.9165,23.5792
207.068,23.5786
210.2195,23.5781
213.371,23.5776
216.5225,23.5771
219.674,23.5765
222.8254,23.576
225.9769,23.5755
229.1284,23.5749
232.2799,23.5744
235.4314,23.5739
238.5829,23.5733
241.7344,23.5728
244.8859,23.5723
248.0374,23.5718
251.1888,23.5712
254.3403,23.5707
257.4918,23.5702
260.6433,23.5695
263.7948,23.5691
266.9463,23.5686
270.0977,23.5681
273.2559,23.3995
276.4074,23.3989
279.5589,23.3984
282.7103,23.3979
285.8618,23.3973
289.0133,23.3968
292.1648,23.3963
295.3163,23.3957
298.4744,23.2271
301.6259,23.2266
304.7774,23.2261
307.9289,23.2256
311.0804,23.225
314.2318,23.2245
317.39,23.0559
320.5413,23.0554
323.6928,23.0548
326.8444,23.0543
329.9959,23.0538
333.1474,23.0533
336.3054,22.8847
339.457,22.8841
342.6085,22.8836
345.76,22.8831
348.9115,22.8824
352.0695,22.7139
355.2211,22.7134
358.3725,22.7128
361.524,22.7123
364.6755,22.7118
367.8336,22.5432
370.9851,22.5427
374.1366,22.5422
377.2881,22.5415
380.4462,22.373
383.5977,22.3725
386.7492,22.3719
389.9007,22.3714
393.0588,22.2028
396.2103,22.2023
399.3618,22.2018
402.5131,22.2013
405.6714,22.0327
408.8228,22.0321
411.9743,22.0316
415.1258,22.0311
418.2839,21.8625
421.4354,21.8618
424.5869,21.8614
427.7384,21.8609
430.8965,21.6923
434.048,21.6918
437.1995,21.6912
440.3576,21.5226
443.5091,21.5221
446.6606,21.5215
449.8121,21.521
452.9702,21.3524
456.1217,21.3519
459.2731,21.3514
462.4312,21.1828
465.5827,21.1823
468.7342,21.1817
471.8857,21.1812
475.0438,21.0126
478.1953,21.0121
481.3468,21.0115
484.5049,20.8429
487.6564,20.8424
490.8079,20.8418
493.966,20.6733
497.1175,20.6728
500.269,20.6722
503.4271,20.5036
506.5786,20.503
509.7301,20.5026
512.8881,20.334
516.0397,20.3334
519.1911,20.3329
522.3492,20.1643
525.5007,20.1638
528.6522,20.1633
531.8103,19.9947
534.9618,19.9941
538.1133,19.9936
541.2713,19.825
544.4229,19.8245
547.5744,19.8239
550.7325,19.6553
553.884,19.6548
557.0355,19.6543
560.1936,19.4857
563.3451,19.4852
566.5032,19.3166
569.6547,19.316
572.8062,19.3155
575.9643,19.1469
579.1158,19.1464
582.2739,18.9778
585.4254,18.9771
588.5768,18.9767
591.7349,18.8081
594.8864,18.8075
598.0446,18.639
601.196,18.6385
604.3475,18.6379
607.5056,18.4693
610.6571,18.4687
613.8152,18.3002
616.9667,18.2997
620.1248,18.1311
623.2763,18.1305
626.4344,17.9619
629.5859,17.9614
632.744,17.7928
635.8955,17.7923
639.0536,17.6237
642.2051,17.6232
645.3566,17.6226
648.5147,17.454
651.6662,17.4535
654.8243,17.2849
657.9758,17.2844
661.1339,17.1158
664.2854,17.1152
667.4435,16.9466
670.595,16.9461
673.753,16.7774
676.9045,16.777
680.0627,16.6084
683.2142,16.6078
686.3723,16.4393
689.5238,16.4386
692.6819,16.2701
695.8334,16.2696
698.9915,16.101
702.143,16.1005
705.3011,15.9319
708.4526,15.9314
711.604,15.9308
714.7622,15.7622
717.9203,15.5936
721.0718,15.5931
724.2299,15.4245
727.3814,15.424
730.5329,15.4234
733.6909,15.2548
736.8425,15.2543
740.0006,15.0857
743.1521,15.0852
746.3102,14.9165
749.4616,14.9161
752.6198,14.7475
755.7711,14.7469
758.9294,14.5783
762.0808,14.5777
765.2389,14.4092
768.3904,14.4087
771.5419,14.4081
774.7,14.2395
777.8515,14.2389
781.0096,14.0704
784.1611,14.0699
787.3192,13.9013
790.4707,13.9008
793.6288,13.7322
796.7803,13.7316
799.9384,13.563
803.0899,13.5625
806.248,13.3939
809.3995,13.3934
812.551,13.3928
815.709,13.2243
818.8606,13.2237
822.0187,13.0551
825.1702,13.0546
828.3216,13.0541
831.4798,12.8855
834.6313,12.8849
837.7894,12.7163
840.9409,12.7158
844.099,12.5472
847.2505,12.5467
850.4086,12.378
853.5601,12.3776
856.7182,12.209
859.8697,12.2084
863.0212,12.2079
866.1793,12.0393
869.3308,12.0388
872.4889,11.8702
875.6404,11.8696
878.7917,11.8691
881.95,11.7005
885.1014,11.7
888.2595,11.5314
891.411,11.5309
894.5691,11.3623
897.7206,11.3617
900.8721,11.3612
904.0302,11.1926
907.1817,11.1921
910.3397,11.0235
913.4913,11.0229
916.6428,11.0224
919.8009,10.8538
922.9524,10.8533
926.1105,10.6846
929.262,10.6842
932.4135,10.6836
935.5716,10.515
938.7231,10.5145
941.8812,10.3458
945.0327,10.3454
948.1842,10.3448
951.3423,10.1762
