sample temp (C),Mobility (cm^2/Vs)
27.45,44.183816
31.2,43.955419
35.65,44.069765
39.2,43.807505
42.45,43.247893
46.8,43.362701
52.05,43.235892
57.85,42.910698
64.25,42.432498
70.9,42.243313
77.8,41.235835
84.85,40.79572
92.1,40.833616
99.45,40.198283
106.8,40.040624
114,39.064374
121.4,39.247529
128.8,38.616618
136.2,38.290424
143.5,37.622405
150.7,37.438609
157.85,37.091692
164.9,36.666011
172.05,36.348763
178.95,35.550624
185.8,35.331782
192.6,34.943321
199.4,34.678163
206.05,34.401567
212.8,33.711989
219.4,32.377031
226,33.001091
232.55,33.227727
238.85,33.013635
245.2,32.261429
251.55,32.029175
257.85,31.546163
264.05,29.955072
270.35,30.81246
276.65,30.184386
282.85,30.198555
288.8,28.745462
294.8,28.397348
300.75,31.362292
306.65,30.397324
312.6,29.337803
318.4,28.871127
324.25,28.25101
329.85,26.520962
335.5,27.957156
341.2,28.118863
346.65,27.667791
352.05,27.084333
357.25,27.026585
362.5,27.277242
367.7,25.211637
372.9,26.140245
378.05,26.080812
382.95,26.202288
387.75,26.080346
392.45,25.258175
396.9,25.593308
401.35,25.575666
405.75,23.961173
410.15,25.154902
414.7,24.847765
419.15,24.572431
423.55,24.448716
427.85,24.30378
433.25,24.166105
441.3,24.278048
449.3,23.518572
456.2,23.1293
461.95,21.03222
466.85,22.41146
471.2,21.246939
475.2,21.266255
479,22.432226
482.6,20.239878
486.15,21.584062
490.2,22.209072
494.15,22.254364
497.15,21.837661
499.25,20.040746
500.5,20.310403
500.85,19.92543
501.4,22.995649
502.15,20.056907
502.45,21.575056
502.65,21.645511
502.9,22.202666
502.55,19.935386
501.25,19.539745
499.3,22.82248
496.7,21.371156
493.7,20.084179
490.45,20.27814
487,20.45913
483.35,20.445498
479.6,22.509484
475.65,22.253744
471.95,20.939846
468.2,22.466629
464.1,22.5616
459.75,21.534321
455.45,21.419484
451.1,20.92986
446.65,24.042943
442.05,23.893762
437.3,23.089375
432.55,23.243548
427.85,22.128779
423.25,23.2896
418.5,22.458381
413.65,22.359525
408.65,24.659258
403.4,25.097846
398.25,23.539978
393.05,23.310533
387.75,24.590618
382.15,25.59295
375.75,25.529112
369.95,25.471056
364.55,26.505156
358.85,26.335583
353.35,26.778492
347.7,25.948117
341.95,27.121383
336.2,27.175154
330.3,27.76132
324.1,26.931247
317.65,26.762857
311.35,26.951843
305,26.607671
298.75,26.822891
292.35,26.952294
285.95,29.553008
279.15,29.825151
270.75,28.19876
262.15,28.381517
255.15,29.457993
248.75,29.31315
242.55,29.585027
236.35,30.089674
229.95,30.234408
223.45,30.833252
216.8,33.125032
210.05,32.64622
203.35,32.504648
196.55,33.661542
189.65,32.566515
182.65,33.158428
175.7,33.627534
168.7,34.076421
161.6,34.41415
154.45,34.256184
147.1,34.994392
139.75,35.588945
132.35,37.278062
124.75,36.38104
117.25,37.20711
109.75,38.229946
102.2,38.571535
94.8,39.383028
87.75,37.659121
81.35,40.198885
75.55,39.52073
70.3,39.457387
65.6,40.831668
61.5,40.886085
57.85,40.878246
54.6,41.489077
51.7,42.186286
49.2,42.024172
46.9,41.77185
44.9,42.426148
43.05,42.214234
41.5,42.508337
40.15,42.627237
38.8,42.493863
37.6,42.854156
36.55,43.488336
35.6,42.633295
34.7,42.644646
34,42.728111
