deltatemp (C),Valumel (uV)
-5.3376,-759.987995
-5.3138,-688.903207
-5.3259,-765.726695
-4.6637,-577.79811
-4.1757,-592.017329
-3.8343,-540.498481
-2.9913,-438.80484
-2.9331,-400.582494
-2.6915,-339.985892
-1.7597,-287.422179
-1.3868,-137.206768
-1.2545,-123.856237
-0.849,-130.031232
-0.6424,-56.966644
0.4226,22.525719
0.5718,105.51382
1.097,202.049327
1.7771,204.888604
1.8871,288.323141
2.2994,337.988477
2.7905,320.822616
2.8829,403.562755
3.8678,505.443755
4.218,584.995395
4.7036,643.14336
5.2405,669.532836
5.4386,722.444072
5.4681,746.018519
