deltatemp (C),Vchromel (uV)
-5.3376,-734.102322
-5.3138,-708.118946
-5.3259,-744.031483
-4.6637,-598.75316
-4.1757,-579.605994
-3.8343,-523.061071
-2.9913,-424.604977
-2.9331,-380.350713
-2.6915,-344.499961
-1.7597,-257.470747
-1.3868,-131.57007
-1.2545,-134.802864
-0.849,-115.809773
-0.6424,-50.25808
0.4226,48.150003
0.5718,114.537716
1.097,187.181039
1.7771,224.880185
1.8871,290.002537
2.2994,327.316178
2.7905,346.373953
2.8829,411.135085
3.8678,515.112735
4.218,586.163828
4.7036,632.187176
5.2405,681.520728
5.4386,730.228351
5.4681,752.083101
